Bike_id,Publish_period,End_Date,Departure_Date,Distance_travelled,Color,Country_Sold,N_Photos,Price,N_Inquires,is_sold
XL3-1076474,10,1405036800000000000,1407801600000000000,65992,Green,Laos,32,77000,5,1.0
XL3-1209963,12,1404086400000000000,1409270400000000000,126631,Blue,Laos,33,91000,46,0.0
XL3-1209963,11,1405036800000000000,1409270400000000000,126631,Blue,Laos,33,59000,46,1.0
XL3-1111847,5,1404086400000000000,1408147200000000000,61936,White,Laos,30,100000,5,0.0
XL3-1111847,11,1405036800000000000,1408147200000000000,61936,White,Laos,30,80000,5,1.0
XL3-1204965,15,1404950400000000000,1407974400000000000,100627,Blue,Laos,30,109000,8,0.0
XL3-1204965,2,1405123200000000000,1407974400000000000,100627,Blue,Laos,30,82000,8,1.0
XL3-1063468,10,1404864000000000000,1408147200000000000,131388,Pearl,Laos,31,93000,5,0.0
XL3-1063468,3,1405123200000000000,1408147200000000000,131388,Pearl,Laos,31,76000,5,1.0
XL3-1000986,5,1402876800000000000,1410739200000000000,127255,Silver,Laos,31,112000,8,0.0
XL3-1000986,26,1405123200000000000,1410739200000000000,127255,Silver,Laos,31,65000,8,1.0
XL3-1063907,9,1404691200000000000,1408147200000000000,105337,Silver,Laos,30,95000,3,0.0
XL3-1063907,7,1405296000000000000,1408147200000000000,105337,Silver,Laos,30,61000,3,1.0
XL3-1039695,15,1404864000000000000,1408147200000000000,95022,Red,Laos,31,94000,4,0.0
XL3-1039695,5,1405296000000000000,1408147200000000000,95022,Red,Laos,31,62000,4,1.0
XL3-1070925,26,1405209600000000000,1408147200000000000,74859,Yellow,Laos,30,96000,9,0.0
XL3-1070925,1,1405296000000000000,1408147200000000000,74859,Yellow,Laos,30,79000,9,1.0
XL3-1015590,11,1405036800000000000,1407801600000000000,72014,Red,Laos,30,99000,2,0.0
XL3-1015590,3,1405296000000000000,1407801600000000000,72014,Red,Laos,30,89000,2,1.0
XL3-1151115,1,1404518400000000000,1408406400000000000,89701,Silver,Laos,31,100000,1,0.0
XL3-1151115,9,1405296000000000000,1408406400000000000,89701,Silver,Laos,31,83000,1,1.0
XL3-1021750,10,1404864000000000000,1408406400000000000,126728,Blue,Laos,33,93000,3,0.0
XL3-1021750,5,1405296000000000000,1408406400000000000,126728,Blue,Laos,33,71000,3,1.0
XL3-1157591,1,1404000000000000000,1408406400000000000,85212,Blue,Laos,31,96000,6,0.0
XL3-1157591,15,1405296000000000000,1408406400000000000,85212,Blue,Laos,31,69000,6,1.0
XL3-1009258,17,1404691200000000000,1408406400000000000,101104,Blue,Laos,31,93000,9,0.0
